,Date,User,Tweet
71,2019-03-02 07:38:10+00:00,IndianExpress,"PM Modi's reaction comes a day after the IAF flying pilot was handed over to India by the Pakistan at the Wagah border.

https://t.co/qMJ70Zsuf2"
72,2019-03-02 07:27:54+00:00,IndianExpress,"The recording released on the official Twitter handle of Government of Pakistan was later deleted. It was not clear whether he was made to record the video under duress. #AbhinandanVarthaman 

https://t.co/BaIRcfhJsv"
73,2019-03-02 07:01:13+00:00,IndianExpress,"India must have a lasting and credible policy for its security: Mayawati 
https://t.co/JCguKgQ1uv"
74,2019-03-02 06:59:57+00:00,IndianExpress,"Meaning of #Abhinandan will now change, says PM Modi 

https://t.co/sQwqRiEU2j"
75,2019-03-02 06:28:07+00:00,IndianExpress,"LIVE | Meaning of Abhinandan will now change, says PM Modi  
https://t.co/cB5B6EfGLW"
76,2019-03-02 06:27:31+00:00,IndianExpress,"""Pakistan wants de-escalation. Pakistan wants peace in the region, wants stability. We are ready for talks. It is for India to decide,"" Pakistan Foreign Minister Shah Mahmood Qureshi said

https://t.co/izGbmmwtJy"
77,2019-03-02 05:28:03+00:00,IndianExpress,"""Welcome Home Wing Commander #Abhinandan,"" PM Modi tweeted. 
  https://t.co/dHRYWebpDN"
78,2019-03-02 05:03:24+00:00,IndianExpress,"IAF Wing Commander Abhinandan returns LIVE Updates: Pilot lands in Delhi, to undergo debriefing today 
https://t.co/y6OS0FYzAN"
79,2019-03-02 04:18:16+00:00,IndianExpress,"#ExpressOpinion: India-Pakistan dialogue should focus, instead, on reviving trade | READ
https://t.co/1Ex7Mu2KnB"
80,2019-03-02 04:11:51+00:00,IndianExpress,"#ExpressOpinion: For India and Pakistan, the bigger challenge is to re-imagine a win-win narrative | READ 
https://t.co/Dq7YVBM9mt"
81,2019-03-02 03:30:00+00:00,IndianExpress,"#ExpressOpinion For India and Pakistan, the bigger challenge is to re-imagine a win-win narrative   
https://t.co/Dq7YVC3KL3"
82,2019-03-02 03:25:56+00:00,IndianExpress,"IAF pilot #AbhinandanVarthaman's heavily edited video message, released an hour before his arrival in India, claimed he entered Pakistan's space to ""find a target"" but his aircraft was shot down.

https://t.co/BaIRcfhJsv"
83,2019-03-02 01:30:00+00:00,IndianExpress,"#ExpressFrontPage Attired in civilian clothes, Abhinandan Varthaman walked across the Zero Line at 9.20 pm as the Pakistan Rangers handed him over to the BSF. 

https://t.co/1X0ats8nNZ"
84,2019-03-02 01:00:00+00:00,IndianExpress,"#ExpressFrontPage Following Qureshi’s remarks, India, backed by France, the US and the UK, is all set to move a fresh proposal before the United Nations Security Council (UNSC) naming Azhar and Jaish responsible for the Pulwama attack, seeking a ban.

https://t.co/lWKMLBCSUt"
85,2019-03-02 00:45:00+00:00,IndianExpress,"#ExpressFrontPage In a diplomatic move to isolate Pakistan, Swaraj said OIC nations must tell countries supporting terror to dismantle the infrastructure of terrorist camps and stop providing funding and shelter to terror outfits.

https://t.co/u5nimegngz"
86,2019-03-01 23:01:00+00:00,IndianExpress,"The special court had held that the overall conduct of Mallya suggests his refusal to return of India to face criminal prosecution, while declaring him fugitive on January 5.

https://t.co/ijuXzOB6Sm"
87,2019-03-01 21:09:34+00:00,IndianExpress,"Congress leader and former Kerala Chief Minister Oommen Chandy thanked Sidhu for his “genuine efforts” after captured IAF pilot Abhinandan Varthaman was released by Pakistan on Friday.

https://t.co/o23SeI4Y6c"
88,2019-03-01 20:32:00+00:00,IndianExpress,"The Prime Minister said the country will no longer be “helpless” against terror and that a ‘New India’ will pay back terrorists with ‘interest’.

https://t.co/nyV8xWbDiA"
89,2019-03-01 19:56:00+00:00,IndianExpress,"A day after Pakistan claimed it never used American F-16s in its attempted air strike, India presented parts of a fired AMRAAM missile, which can only be fired from an F-16 aircraft.

https://t.co/gjZzSUFWSP"
90,2019-03-01 19:53:00+00:00,IndianExpress,"The meeting had been called to deliberate on the issue of “Indo-Pak relations in view of new regime in Pakistan: recent developments”.

https://t.co/zaQyxFqiLr"
91,2019-03-01 19:13:00+00:00,IndianExpress,"#ExpressOpinion — India-Pakistan dialogue should focus, instead, on reviving trade

https://t.co/1Ex7MuklMb"
92,2019-03-01 19:00:15+00:00,IndianExpress,"#ExpressOpinion — The consequences of military action against Pakistan are uncertain at best. Gains that accrue in the short term are nullified by simply shifting the conflict to another site. 

https://t.co/Dq7YVC3KL3"
93,2019-03-01 17:40:07+00:00,IAF_MCC,"We have Wg Cdr Abhinandan back with us.
Indian Air Force is proud of our Airwarrior #Abhinandan. (5/5)
#WelcomeHomeAbhinandan"
94,2019-03-01 17:40:06+00:00,IAF_MCC,"The IAF lost one MiG-21 in the aerial engagement &amp; the Pilot ejected safely, his parachute drifted into POJ&amp;K where he was taken into custody by Pakistan Army. (4/5)"
95,2019-03-01 17:25:45+00:00,IAF_MCC,"Welcome back Wg Cdr V Abhinandan.
We are proud of you. Jai Hind!!!
#WelcomeHomeAbhinandan https://t.co/aZ4SHhfech"
96,2019-03-01 17:05:07+00:00,IndianExpress,"In a major diplomatic achievement, India for the first time addressed the OIC meeting on Friday, and asserted that the war against terrorism, which was destabilising regions and putting the world at great peril, was not against any religion.

https://t.co/WFelwTvuta"
97,2019-03-01 16:56:08+00:00,IndianExpress,"On Wing Commander Abhinandan Varthaman's return to India, Prime Minister Narendra Modi said, ""Our armed forces are an inspiration for 130 crore Indians.""

https://t.co/4s7TfQ6Ulu"
98,2019-03-01 16:51:38+00:00,IndianExpress,"Congress president Rahul Gandhi tweeted after his return; “Wing Cdr. Abhinandan, your dignity, poise and bravery made us all proud. Welcome back and much love.”

https://t.co/1Jkpapk2vd"
99,2019-03-01 16:46:35+00:00,IndianExpress,"PM Narendra Modi tweets: ""Welcome Home Wing Commander #Abhinandan! The nation is proud of your exemplary courage. Our armed forces are an inspiration for 130 crore Indians. Vande Mataram!""

Follow LIVE updates: https://t.co/D2TgDBsXC0"
100,2019-03-01 16:36:03+00:00,IndianExpress,"IAF Wing Commander Abhinandan Varthaman returns home: A timeline

https://t.co/X5DJs4uEfL"
101,2019-03-01 16:11:40+00:00,IndianExpress,"IAF Wing Commander #Abhinandan Varthaman is back home amid relief, cheers
https://t.co/IAuzgml8la"
102,2019-03-01 15:52:35+00:00,IndianExpress,"JUST IN | IAF pilot Wing Commander #Abhinandan crosses border to enter India

Follow LIVE UPDATES&gt;&gt;  https://t.co/D2TgDBsXC0 https://t.co/QhLrKVcjJJ"
103,2019-03-01 14:27:50+00:00,IndianExpress,"Pakistan will surely respond to any aggression in self-defence: Army chief
https://t.co/rnIXgZ46QE"
104,2019-03-01 12:55:52+00:00,IndianExpress,"Pakistan plans to lodge a complaint against India at the UN, accusing it of “eco-terrorism"".
 https://t.co/fQ239CHwZ6"
105,2019-03-01 12:27:41+00:00,IndianExpress,"Rahul Gandhi said that the PM tells media that the country is united after the Pulwama terror attack but immediately targets Congress party.
 
https://t.co/ObR7kishgm"
106,2019-03-01 12:25:00+00:00,IndianExpress,"This is a change from India’s “first televised war” in 1999, when the imagery of conflict in Kargil was beamed into living rooms for the first time.

https://t.co/HzVUxQyd16"
107,2019-03-01 12:07:52+00:00,IndianExpress,"“China has never recognised India and Pakistan as nuclear countries. Our position on this has never changed,"" Chinese Foreign Ministry spokesman Lu Kang told a media briefing

https://t.co/xINaUBehZK"
108,2019-03-01 11:18:08+00:00,IndianExpress,"Pakistan partially resumes flight operations
https://t.co/QB42YCXFln"
109,2019-03-01 10:55:00+00:00,IndianExpress,"On the Pulwama attack, New Delhi shared evidence linking the suicide attacker, Adil Ahmad Dar, and his suspected aide, Sajjad Bhat, to JeM. 

https://t.co/LlMB0Eocoy"
