,Date,User,Tweet
40,2019-03-03 08:22:11+00:00,ARYNEWSOFFICIAL,"#Journalists in #India are being pressurised to conform to the official narrative of hate-mongering against Pakistan. 
#ARYNews 

https://t.co/OMVP1VM4Xo"
41,2019-03-03 07:47:35+00:00,ARYNEWSOFFICIAL,"Foreign Minister #ShahMehmoodQureshi has said that the resolution adopted by the Organization of Islamic Cooperation (#OIC) meeting in #AbuDhabi has endorsed Pakistan’s stance on #Kashmir and condemned the #Indian #terrorism
#ARYNews 

https://t.co/86mpSmUC8S"
42,2019-03-03 07:35:32+00:00,ARYNEWSOFFICIAL,"Turkish President Recep #TayyipErdogan said #Turkey was ready to do its part to de-escalate tension between Pakistan and India
#ARYNews 

https://t.co/x18w23mWjE"
43,2019-03-03 07:23:37+00:00,ARYNEWSOFFICIAL,"Following intense tension between Pakistan and India, #flight operation at Allama Iqbal International #Airport, #Lahore, has been partially restored
#ARYNews 

https://t.co/MUdXRshf6U"
44,2019-03-02 19:55:24+00:00,ARYNEWSOFFICIAL,"#Modi says ‘outcome’ would have been different if #India had #Rafalejets
#ARYNews 
https://t.co/gpFD5jyegb"
45,2019-03-02 19:18:24+00:00,ARYNEWSOFFICIAL,"A top #Indian minister said the government would not share proof that ‘a very large number’ of ‘militants’ were killed in ‘air #strikes’ inside #Pakistan this week
#ARYNews 

https://t.co/eyhusrHJqZ"
46,2019-03-02 17:16:58+00:00,ARYNEWSOFFICIAL,"The Ministry of #Energy has raised a sum of Rs200 billion through ‘Pakistan Energy Sukuk’ to resolve the country’s spiraling circular debt
#ARYNews 

https://t.co/8edPDjxtNM"
47,2019-03-02 17:03:05+00:00,ARYNEWSOFFICIAL,"Member countries of the Organisation of Islamic Cooperation (#OIC) announced unshakeable support for #Kashmiri people besides condemning recent wave of state-terrorism by #India in occupied Jammu and Kashmir
#ARYNews 

https://t.co/KrMuTwnNPC"
48,2019-03-02 16:10:59+00:00,ARYNEWSOFFICIAL,"Terming youth the country’s asset, #Punjab Chief Minister #SardarUsmanBuzdar said that the Pakistan Tehreek-e-Insaf (#PTI) led provincial government is working on a comprehensive plan for the #welfare of young people
#ARYNews 

https://t.co/NzNWrgpmwi"
49,2019-03-02 15:49:00+00:00,ARYNEWSOFFICIAL,"#AjayDevgan welcomes #Abhinandan; gets brutally trolled again!
#ARYNews 

https://t.co/iBGMtSwMgu"
50,2019-03-02 15:00:08+00:00,ARYNEWSOFFICIAL,"Who was the lady accompanying Indian pilot Abhinandan at Wagah border?
#ARYNews
https://t.co/jVjpERxcT9"
